26,IM_dOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,SM_dOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,M_dI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,M_dO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,E_dS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,OI_ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MI_dI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,OM_adO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,OM_adI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,EM_adS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,E_dSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,O_dIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,EM_dS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,OM_dO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,OM_dI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,stable,isDataValid,Load,Store,Replacement,Own_GetS,Own_GetM,Own_PutM,Other_GetS,Other_GetM,Other_PutM,OwnData,Invalidation,OwnData_Execlusive,DataArrayReady,,,,,,,,,,,,,,
I,1,0,GetS/IS_ad,GetM/IM_ad,,Fault/,Fault/,Fault/,,,,Fault/,,Fault/,,,,,,,,,,,,,,,
IS_ad,0,1,Stall/,Stall/,Stall/,IS_d,Fault/,Fault/,,,,IS_a,,Fault/,,,,,,,,,,,,,,,
IS_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,SaveReq/IES_d,SaveReq/IS_dI,,Hit/S,IS_dI,Hit/E,,,,,,,,,,,,,,,
IS_a,0,1,Stall/,Stall/,Stall/,Hit/S,Fault/,Fault/,,,Fault/,Fault/,IS_ad,Fault/,,,,,,,,,,,,,,,
IS_dI,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Hit/removeSavedReq/I,,Hit/Data2Req/I,,,,,,,,,,,,,,,
IM_ad,0,1,Stall/,Stall/,Stall/,Fault/,IM_d,Fault/,,,,IM_a,,Fault/,,,,,,,,,,,,,,,
IM_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,SaveReq/IM_dO,SaveReq/IM_dI,,Hit/M,SaveReq/IM_dI,Fault/,,,,,,,,,,,,,,,
IM_a,0,1,Stall/,Stall/,Stall/,Fault/,Hit/M,Fault/,,,,Fault/,IM_ad,Fault/,,,,,,,,,,,,,,,
IM_dI,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Hit/Data2Req/I,,Fault/,,,,,,,,,,,,,,,
IM_dO,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,SaveReq/,SaveReq/IM_dOI,,Hit/Data2Req/O,SaveReq/IM_dOI,Fault/,,,,,,,,,,,,,,,
S,1,1,Hit/,GetM/SM_ad,I,Fault/,Fault/,Fault/,,I,,Fault/,I,Fault/,,,,,,,,,,,,,,,
SM_ad,0,1,Hit/,Stall/,Stall/,Fault/,SM_d,Fault/,,IM_ad,,SM_a,IM_ad,Fault/,,,,,,,,,,,,,,,
SM_d,0,1,Hit/,Stall/,Stall/,Fault/,Fault/,Fault/,SaveReq/SM_dO,SaveReq/SM_dI,,Hit/M,SaveReq/IM_dI,Fault/,,,,,,,,,,,,,,,
SM_a,0,1,Hit/,Stall/,Stall/,Fault/,Hit/M,Fault/,,IM_a,Fault/,Fault/,IM_a,Fault/,,,,,,,,,,,,,,,
SM_dI,0,1,Hit/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Hit/Data2Req/I,,Fault/,,,,,,,,,,,,,,,
SM_dO,0,1,Hit/,Stall/,Stall/,Fault/,Fault/,Fault/,SaveReq/,SaveReq/SM_dOI,,Hit/Data2Req/O,SaveReq/SM_dOI,Fault/,,,,,,,,,,,,,,,
M,1,1,Hit/,Hit/,PutM/MI_a,Fault/,Fault/,Fault/,SaveReq/StartRead/M_dO,SaveReq/StartRead/M_dI,,Fault/,SaveReq/StartRead/M_dI,Fault/,,,,,,,,,,,,,,,
MI_a,0,1,Hit/,Hit/,Stall/,Fault/,Fault/,StartRead/M_dI,SaveReq/StartRead/OI_ad,SaveReq/StartRead/MI_dI,,Fault/,SaveReq/StartRead/MI_dI,Fault/,,,,,,,,,,,,,,,
II_a,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,I,,,,Fault/,,Fault/,,,,,,,,,,,,,,,
E,1,1,Hit/,GetM/EM_a,PutM/MI_a,Fault/,Fault/,Fault/,SaveReq/StartRead/E_dS,SaveReq/StartRead/M_dI,,Fault/,SaveReq/StartRead/M_dI,Fault/,,,,,,,,,,,,,,,
O,1,1,Hit/,GetM/OM_a,PutM/OI_a,Fault/,Fault/,Fault/,SaveReq/StartRead/M_dO,SaveReq/StartRead/M_dI,,Fault/,SaveReq/StartRead/M_dI,Fault/,,,,,,,,,,,,,,,
OM_a,0,1,Hit/,Stall/,Stall/,Fault/,Hit/M,Fault/,SaveReq/StartRead/OM_adO,SaveReq/StartRead/OM_adI,,Fault/,SaveReq/StartRead/OM_adI,Fault/,,,,,,,,,,,,,,,
OI_a,0,1,Hit/,Stall/,Stall/,Fault/,Fault/,StartRead/M_dI,SaveReq/StartRead/OI_ad,SaveReq/StartRead/MI_dI,,Fault/,SaveReq/StartRead/MI_dI,Fault/,,,,,,,,,,,,,,,
IES_d,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,,IES_dI,,Hit/removeSavedReq/S,IS_dI,Hit/Data2Both/S,,,,,,,,,,,,,,,
IES_dI,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Hit/removeSavedReq/S,IS_dI,Hit/Data2Both/I,,,,,,,,,,,,,,,
EM_a,0,1,Stall/,Stall/,Stall/,Fault/,Hit/M,Fault/,SaveReq/StartRead/EM_adS,SaveReq/StartRead/OM_adI,Stall/,Fault/,SaveReq/StartRead/OM_adI,Fault/,,,,,,,,,,,,,,,
IM_dOI,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Hit/Data2Req/I,,Fault/,,,,,,,,,,,,,,,
SM_dOI,0,1,Hit/,Stall/,Stall/,Fault/,Fault/,Fault/,,,,Hit/Data2Req/I,,Fault/,,,,,,,,,,,,,,,
M_dI,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Stall/,,,,Fault/,Stall/,Fault/,Data2Req/I,,,,,,,,,,,,,,
M_dO,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Stall/,SaveReq/,SaveReq/M_dI,,Fault/,Stall/,Fault/,Data2Req/O,,,,,,,,,,,,,,
E_dS,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Stall/,,E_dSI,,Fault/,Stall/,Fault/,Data2Both/S,,,,,,,,,,,,,,
OI_ad,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Stall/,SaveReq/,SaveReq/MI_dI,,Fault/,Stall/,Fault/,Data2Req/OI_a,,,,,,,,,,,,,,
MI_dI,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Stall/,,,,Fault/,Stall/,Fault/,Data2Req/II_a,,,,,,,,,,,,,,
OM_adO,0,1,Stall/,Stall/,Stall/,Fault/,OM_dO,Stall/,SaveReq/,SaveReq/OM_adI,,Fault/,Stall/,Fault/,Data2Req/OM_a,,,,,,,,,,,,,,
OM_adI,0,1,Stall/,Stall/,Stall/,Fault/,O_dIM,Stall/,,,,Fault/,Stall/,Fault/,Data2Req/IM_ad,,,,,,,,,,,,,,
EM_adS,0,1,Stall/,Stall/,Stall/,Fault/,EM_dS,Stall/,,E_dSI,,Fault/,Stall/,Fault/,Data2Both/SM_ad,,,,,,,,,,,,,,
E_dSI,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Stall/,,,,Fault/,Stall/,Fault/,Data2Both/I,,,,,,,,,,,,,,
O_dIM,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Stall/,Stall/,Stall/,,Fault/,Stall/,Fault/,Data2Req/IM_d,,,,,,,,,,,,,,
EM_dS,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Stall/,Stall/,Stall/,,Fault/,Stall/,Fault/,Data2Both/SM_d,,,,,,,,,,,,,,
OM_dO,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Stall/,SaveReq/,Stall/,,Fault/,Stall/,Fault/,Data2Req/Hit/M,,,,,,,,,,,,,,
OM_dI,0,1,Stall/,Stall/,Stall/,Fault/,Fault/,Stall/,,,,Fault/,Stall/,Fault/,Data2Both/Hit/I,,,,,,,,,,,,,,
