7, IM_a              ,            ,           ,           ,            ,         ,         ,                 ,                        ,                        ,           ,                     ,                        , ,
8, IM_dI             ,            ,           ,           ,            ,         ,         ,                 ,                        ,                        ,           ,                     ,                        , ,
9, IM_dS             ,            ,           ,           ,            ,         ,         ,                 ,                        ,                        ,           ,                     ,                        , ,
10, IM_dSI            ,            ,           ,           ,            ,         ,         ,                 ,                        ,                        ,           ,                     ,                        , ,
11, S                 ,            ,           ,           ,            ,         ,         ,                 ,                        ,                        ,           ,                     ,                        , ,
12, SM_ad             ,            ,           ,           ,            ,         ,         ,                 ,                        ,                        ,           ,                     ,                        , ,
13, SM_d              ,            ,           ,           ,            ,         ,         ,                 ,                        ,                        ,           ,                     ,                        , ,
14, SM_a              ,            ,           ,           ,            ,         ,         ,                 ,                        ,                        ,           ,                     ,                        , ,
15, SM_dI             ,            ,           ,           ,            ,         ,         ,                 ,                        ,                        ,           ,                     ,                        , ,
16, SM_dS             ,            ,           ,           ,            ,         ,         ,                 ,                        ,                        ,           ,                     ,                        , ,
17, SM_dSI            ,            ,           ,           ,            ,         ,         ,                 ,                        ,                        ,           ,                     ,                        , ,
18, M                 ,            ,           ,           ,            ,         ,         ,                 ,                        ,                        ,           ,                     ,                        , ,
19, MI_a              ,            ,           ,           ,            ,         ,         ,                 ,                        ,                        ,           ,                     ,                        , ,
20, II_a              ,            ,           ,           ,            ,         ,         ,                 ,                        ,                        ,           ,                     ,                        , ,
21, E                 ,            ,           ,           ,            ,         ,         ,                 ,                        ,                        ,           ,                     ,                        , ,
22, IES_d             ,            ,           ,           ,            ,         ,         ,                 ,                        ,                        ,           ,                     ,                        , ,
23, IES_dI            ,            ,           ,           ,            ,         ,         ,                 ,                        ,                        ,           ,                     ,                        , ,
24, M_dS              ,            ,           ,           ,            ,         ,         ,                 ,                        ,                        ,           ,                     ,                        , ,
25, M_dI              ,            ,           ,           ,            ,         ,         ,                 ,                        ,                        ,           ,                     ,                        , ,
26, MI_dS             ,            ,           ,           ,            ,         ,         ,                 ,                        ,                        ,           ,                     ,                        , ,
27, MI_dI             ,            ,           ,           ,            ,         ,         ,                 ,                        ,                        ,           ,                     ,                        , ,
         ,                   ,            ,           ,           ,            ,         ,         ,                 ,                        ,                        ,           ,                     ,                        , ,
State    , stable            , isDataValid, Load      , Store     , Replacement, Own_GetS, Own_GetM, Own_PutM        , Other_GetS             , Other_GetM             , Other_PutM, OwnData             , Invalidation           , OwnData_Execlusive, DataArrayReady
I        ,1,0, GetS/IS_ad, GetM/IM_ad,            , Fault/  , Fault/  , Fault/          ,                        ,                        ,           , Fault/              ,                        , Fault/            , 
IS_ad    ,0,1, Stall/    , Stall/    , Stall/     , IS_d    , Fault/  , Fault/          ,                        ,                        ,           , IS_a                ,                        , Fault/            , 
IS_d     ,0,1, Stall/    , Stall/    , Stall/     , Fault/  , Fault/  , Fault/          , SaveReq/IES_d          , SaveReq/IS_dI          ,           , Hit/S               , IS_dI                  , Hit/E             , 
IS_a     ,0,1, Stall/    , Stall/    , Stall/     , Hit/S   , Fault/  , Fault/          ,                        ,                        , Fault/    , Fault/              , IS_ad                  , Fault/            , 
IS_dI    ,0,1, Stall/    , Stall/    , Stall/     , Fault/  , Fault/  , Fault/          ,                        ,                        ,           , Hit/removeSavedReq/I,                        , Hit/Data2Req/I    , 
IM_ad    ,0,1, Stall/    , Stall/    , Stall/     , Fault/  , IM_d    , Fault/          ,                        ,                        ,           , IM_a                ,                        , Fault/            , 
IM_d     ,0,1, Stall/    , Stall/    , Stall/     , Fault/  , Fault/  , Fault/          , SaveReq/IM_dS          , SaveReq/IM_dI          ,           , Hit/M               , SaveReq/IM_dI          , Fault/            , 
IM_a     ,0,1, Stall/    , Stall/    , Stall/     , Fault/  , Hit/M   , Fault/          ,                        ,                        ,           , Fault/              , IM_ad                  , Fault/            , 
IM_dI    ,0,1, Stall/    , Stall/    , Stall/     , Fault/  , Fault/  , Fault/          ,                        ,                        ,           , Hit/Data2Req/I      ,                        , Fault/            , 
IM_dS    ,0,1, Stall/    , Stall/    , Stall/     , Fault/  , Fault/  , Fault/          ,                        , IM_dSI                 ,           , Hit/Data2Both/S     , IM_dSI                 , Fault/            , 
IM_dSI   ,0,1, Stall/    , Stall/    , Stall/     , Fault/  , Fault/  , Fault/          ,                        ,                        ,           , Hit/Data2Both/I     ,                        , Fault/            , 
S        ,1,1, Hit/      , GetM/SM_ad, I          , Fault/  , Fault/  , Fault/          ,                        , I                      ,           , Fault/              , I                      , Fault/            , 
SM_ad    ,0,1, Hit/      , Stall/    , Stall/     , Fault/  , SM_d    , Fault/          ,                        , IM_ad                  ,           , SM_a                , IM_ad                  , Fault/            , 
SM_d     ,0,1, Hit/      , Stall/    , Stall/     , Fault/  , Fault/  , Fault/          , SaveReq/SM_dS          , SaveReq/SM_dI          ,           , Hit/M               , SaveReq/IM_dI          , Fault/            , 
SM_a     ,0,1, Hit/      , Stall/    , Stall/     , Fault/  , Hit/M   , Fault/          ,                        , IM_a                   , Fault/    , Fault/              , IM_a                   , Fault/            , 
SM_dI    ,0,1, Hit/      , Stall/    ,            , Fault/  , Fault/  , Fault/          ,                        ,                        ,           , Hit/Data2Req/I      ,                        , Fault/            , 
SM_dS    ,0,1, Hit/      , Stall/    , Stall/     , Fault/  , Fault/  , Fault/          ,                        , SM_dSI                 ,           , Hit/Data2Both/S     , SM_dSI                 , Fault/            , 
SM_dSI   ,0,1, Hit/      , Stall/    ,            , Fault/  , Fault/  , Fault/          ,                        ,                        ,           , Hit/Data2Both/I     ,                        , Fault/            , 
M        ,1,1, Hit/      , Hit/      , PutM/MI_a  , Fault/  , Fault/  , Fault/          , SaveReq/StartRead/M_dS , SaveReq/StartRead/M_dI ,           , Fault/              , SaveReq/StartRead/M_dI , Fault/            , 
MI_a     ,0,1, Hit/      , Hit/      , Stall/     , Fault/  , Fault/  , StartRead/M_dI, SaveReq/StartRead/MI_dS, SaveReq/StartRead/MI_dI,           , Fault/              , SaveReq/StartRead/MI_dI, Fault/            , 
II_a     ,0,1, Stall/    , Stall/    , Stall/     , Fault/  , Fault/  , I               ,                        ,                        ,           , Fault/              ,                        , Fault/            , 
E        ,1,1, Hit/      , Hit/M     , PutM/MI_a  , Fault/  , Fault/  , Fault/          , SaveReq/StartRead/M_dS , SaveReq/StartRead/M_dI ,           , Fault/              , SaveReq/StartRead/M_dI , Fault/            , 
IES_d    ,0,1, Stall/    , Stall/    , Stall/     , Fault/  , Fault/  , Fault/          ,                        , IES_dI                 ,           , Hit/removeSavedReq/S, IS_dI                  , Hit/Data2Both/S   , 
IES_dI   ,0,1, Stall/    , Stall/    , Stall/     , Fault/  , Fault/  , Fault/          ,                        ,                        ,           , Hit/removeSavedReq/S, IS_dI                  , Hit/Data2Both/I   , 
M_dS     ,0,1, Stall/    , Stall/    , Stall/     , Fault/  , Fault/  , Fault/          ,                        , Stall/                 ,           , Fault/              , Stall/                 , Fault/            , Data2Both/S
M_dI     ,0,1, Stall/    , Stall/    , Stall/     , Fault/  , Fault/  , Fault/          ,                        , Stall/                 ,           , Fault/              , Stall/                 , Fault/            , Data2Req/I
MI_dS    ,0,1, Stall/    , Stall/    , Stall/     , Fault/  , Fault/  , Stall/          , Stall/                 , Stall/                 ,           , Fault/              , Stall/                 , Fault/            , Data2Both/II_a
MI_dI    ,0,1, Stall/    , Stall/    , Stall/     , Fault/  , Fault/  , Stall/          , Stall/                 , Stall/                 ,           , Fault/              , Stall/                 , Fault/            , Data2Req/II_a
